91.05	90.63	89.67	90.16	88.81
93.07	91.94	92.62	93.27	92.76
93.25	92.83	93.73	93.47	93.18
93.53	93.18	93.9	93.81	92.97
93.43	93.64	93.81	93.92	93.55
94.12	93.39	94.14	94.05	93.64
93.85	94.09	93.89	93.52	93.91
94.19	93.78	94.05	94.05	93.46
94.42	94.12	93.86	94.24	93.63
94.96	94.57	94.58	94.01	93.77
94.7	94.06	94.18	94.59	93.99
94.54	94.13	94.61	94.23	93.85
94.29	94.39	94.45	94.51	93.91
95.06	94.15	93.92	93.83	93.93
94.44	94.32	94.66	94.29	93.68
94.82	94.42	94.38	94.66	94.14
94.83	94.43	94.28	95.13	93.81
94.93	94.17	94.65	94.64	94.41
94.61	94.3	94.37	94.87	94.21
94.6	94.32	94.37	93.53	94.31
95.14	94.12	94.64	94.95	94.24
95.09	94.55	94.64	94.8	94.33
95.18	94.78	94.62	94.93	94.32
94.83	94.34	94.96	94.86	94.61
95.09	94.02	94.57	95	94.5
95.06	94.42	95	95.26	94.58
94.92	94.38	94.23	94.56	94.4
95.04	94.71	95	94.83	94.43
95.1	94.66	95.06	94.91	94.56
95.18	94.64	94.95	94.89	94.65
94.74	94.79	94.96	94.53	94.5
95.18	94.51	95.11	95.28	94.82
94.81	94.82	94.71	94.73	94.33
94.87	94.47	95.21	94.65	94.91
95.02	95.11	95.13	95.05	94.54
95.05	94.76	95.14	95.22	95.07
95.13	94.47	95.07	94.84	95.08
95.34	94.87	94.8	95	94.9
95.17	94.93	94.43	94.89	94.94
94.98	94.69	95.29	95.13	95.07
94.83	94.63	95.32	94.83	94.92
95.19	94.88	95.1	94.77	95.09
95.17	94.84	94.62	95.15	95.15
95.31	95.12	94.6	94.71	94.84
95.05	94.71	95.13	94.55	95.09
94.96	95.14	95.28	95.25	95.07
95.3	95.42	95.33	95.21	94.63
95.28	94.85	95.41	95.2	95.13
94.93	94.61	95.4	95.14	95.03
95.16	94.68	94.96	94.99	94.67
95.38	94.44	95.18	94.95	95.03
95.25	95	95.47	94.98	94.94
95	94.77	95.38	95.07	95
95.33	95.13	95.58	95.29	94.71
95.28	94.97	95.23	95.13	94.98
95.41	94.91	95.31	95.08	94.54
95.1	94.6	94.72	95.02	94.3
95.29	94.74	94.17	94.99	95.02
95.48	94.83	94.93	95.15	95.08
94.95	94.94	94.79	94.54	94.91
95.28	94.96	95.09	94.79	94.77
95.39	94.76	94.78	94.89	94.68
95.46	95.4	95.49	94.42	95.24
95.06	94.44	95.12	95.25	95.12
95.28	95.15	95.28	94.92	95.1
95.27	95.15	95.12	95.08	94.97
95.15	95.12	95.15	95.06	95.11
95.34	95.27	95.24	95.3	94.94
95.39	95.05	94.81	94.39	95.04
95.5	94.84	94.58	95.02	94.98
95.36	95.06	95.17	94.99	95.19
95.56	94.66	94.88	95.13	95.05
95.57	95.2	94.72	95.14	94.9
95.39	94.88	95.08	94.59	94.7
95.06	94.86	95.26	95.12	95.18
95.28	94.97	95.16	95.21	95.07
95.31	95.21	94.9	95.21	95.24
95.2	95.38	95.47	95.03	95.04
95.43	94.94	95.09	94.86	95.2
95.27	95.02	94.88	94.95	94.89
94.97	94.78	95.14	94.95	94.95
95.48	95.11	95.27	95.1	95.13
94.96	94.63	95.27	95.07	95.16
95.28	94.63	94.98	95.06	94.53
95.35	94.92	94.89	94.72	95.04
95.35	94.96	94.79	94.84	95.11
95.44	95.15	95.39	95.3	95.2
95.5	95	95.41	95.32	94.94
95.41	94.72	95.01	94.73	95.12
95.25	95.08	95.01	95.29	94.88
95.4	95.08	94.97	95.39	95.14
95.32	94.76	94.77	94.98	95.32
95.3	94.79	95.01	94.77	95.18
95.22	94.85	94.65	94.86	94.87
95.26	95.1	94.93	95.19	94.51
95.43	95.17	94.75	95.3	94.81
95.24	95.02	95.09	94.96	94.83
95.49	94.96	94.63	95.35	95.2
95.42	94.81	94.72	94.76	95.21
95.76	95.03	94.77	94.78	94.91
