66.28	59.46	65.9	54.54
68.56	67.8	76.89	63.63
71.59	73.1	79.16	71.21
78.03	79.92	77.27	75
80.68	83.71	76.89	83.33
77.27	76.51	79.16	83.71
85.6	82.95	76.89	83.71
81.06	82.57	82.57	84.46
84.09	80.68	80.68	79.16
84.46	87.12	80.68	85.98
85.98	81.43	79.92	84.46
83.33	83.71	81.43	86.36
86.36	82.19	81.06	87.87
85.98	83.33	79.92	84.84
85.6	86.36	82.19	84.46
85.6	87.5	84.46	86.74
83.33	82.57	81.81	85.6
86.36	87.5	83.33	85.22
87.87	88.25	84.46	88.25
85.6	84.46	87.12	85.22
85.6	82.19	84.46	83.71
86.36	85.98	85.98	85.6
87.5	84.09	85.22	86.36
87.87	84.84	84.09	84.84
88.63	86.74	85.98	85.22
88.25	84.09	84.09	88.25
88.63	86.74	85.22	85.6
88.25	85.22	86.36	86.36
89.39	86.74	85.6	86.74
89.77	89.01	84.84	85.22
91.28	88.63	81.43	86.36
89.39	86.74	84.84	85.6
90.9	87.87	87.5	89.39
89.39	87.87	84.46	88.25
87.87	89.01	86.74	89.01
88.25	84.46	83.33	84.84
87.5	87.87	86.36	87.5
89.39	87.87	86.74	85.98
88.25	88.25	86.36	86.74
90.15	86.74	83.71	86.74
89.77	89.01	85.22	85.98
88.63	88.25	89.39	89.01
91.28	87.87	89.01	87.12
89.77	90.53	87.87	87.12
89.77	85.98	86.74	87.87
88.25	89.39	86.36	86.74
91.66	89.39	84.84	91.28
89.01	88.25	84.46	90.53
90.53	87.87	85.6	87.5
90.9	89.39	86.74	89.01
89.01	87.12	86.36	87.12
89.77	90.15	85.6	87.12
87.87	90.15	85.6	89.77
88.25	90.53	85.6	89.01
89.39	87.87	87.87	86.74
87.12	89.39	87.12	88.63
90.15	90.15	84.84	88.25
90.15	89.01	84.84	83.71
89.77	88.63	87.87	87.5
91.28	89.01	85.22	90.15
90.9	87.5	87.5	88.63
90.15	88.25	90.53	87.87
88.63	89.39	86.74	87.5
90.9	87.5	86.36	89.01
90.9	88.25	86.36	87.12
89.77	87.12	88.63	87.12
89.39	84.84	87.87	87.5
89.39	87.87	85.22	88.25
87.12	88.63	86.36	86.36
90.9	87.5	87.87	87.12
91.66	91.28	86.36	89.39
90.53	89.77	87.87	89.39
89.01	90.9	87.87	89.01
89.01	87.87	87.12	85.98
89.01	86.36	87.87	87.5
89.39	89.77	89.77	89.39
86.36	86.74	88.63	87.5
88.25	89.77	88.63	90.15
92.04	89.01	89.01	90.53
89.77	90.15	87.87	89.77
89.77	92.42	85.22	89.39
90.15	88.63	87.87	90.53
90.53	90.53	89.01	91.66
89.77	89.77	87.87	89.39
90.53	90.9	87.12	89.01
90.15	90.15	88.63	90.9
89.39	90.53	86.36	90.9
90.15	88.63	87.12	89.39
87.87	90.9	88.63	87.87
88.25	89.77	87.87	89.39
89.39	89.01	87.5	90.53
91.66	89.39	88.25	90.53
87.87	87.5	87.5	87.5
90.15	90.15	88.25	88.63
91.28	89.77	87.12	91.28
90.15	90.15	90.15	90.53
89.39	89.01	86.74	88.25
90.15	88.63	87.87	89.39
89.77	87.87	89.77	88.63
88.63	90.53	89.01	89.01
